learning_rate,optimizer,lstm_units,dropout_rate,val_R2,val_MSE,val_RMSE,val_MAE,test_R2,test_MSE,test_RMSE,test_MAE,epochs_run,best_train_loss,best_val_loss,station
0.001,adam,64,0.2,0.5629559194171752,134.45045344500087,11.595277204319045,9.171086180047018,0.6271141930780855,336.20487976039186,18.33589048179531,13.84700881423958,85,0.00942323263734579,0.008581927977502346,bundaran_hi
0.001,adam,32,0.1,0.5623389432606496,134.64025746636867,11.603458857873745,9.058471770577171,0.6304704745510837,333.1787570490286,18.253184846733696,13.715758327725862,69,0.009542413055896759,0.008594044484198093,bundaran_hi
0.001,adam,32,0.0,0.5526664329443356,137.61586897961834,11.73097902903327,9.450267938090796,0.3826989884492754,556.5768621701394,23.59188127662013,16.86969945714982,67,0.008585967123508453,0.008783976547420025,bundaran_hi
0.001,adam,64,0.1,0.5522132313981041,137.75529004971162,11.736919955836438,9.33978695744899,0.5055134989252739,445.8436646042125,21.115010409758565,15.468896609701126,64,0.008789767511188984,0.00879287626594305,bundaran_hi
0.001,adam,64,0.0,0.5459033332320056,139.69644131411584,11.819324909406452,9.270292235139891,0.5061561003313542,445.2642761575228,21.10128612567307,15.189427511108883,70,0.007854871451854706,0.008916778489947319,bundaran_hi
0.001,adam,16,0.1,0.5273628342764012,145.40016458238046,12.05819906048911,9.678459555689082,0.44637571589621416,499.1640400744022,22.341979323112852,16.753454442018715,55,0.010802227072417736,0.00928084459155798,bundaran_hi
0.001,rmsprop,32,0.0,0.5143657287395453,149.39854097171963,12.222869588264436,9.43306994845915,0.1559438568236019,761.0260000779973,27.586699695287898,18.777413414335918,100,0.007372755091637373,0.009536058641970158,bundaran_hi
0.001,adam,16,0.2,0.5134092185076644,149.69279786733907,12.23490081150391,9.905144984449322,0.3482521598565035,587.6351423464748,24.24118690053098,17.266509644825152,91,0.009475615806877613,0.009554840624332428,bundaran_hi
0.001,adam,32,0.2,0.5044082558819788,152.46181719566653,12.347542961887864,9.995702660573063,0.5007379429782154,450.1494471874204,21.216725647173277,15.96833722974967,67,0.00954482052475214,0.009731587953865528,bundaran_hi
0.001,rmsprop,64,0.1,0.5006261545875194,153.6253273691412,12.394568462400827,9.561404720245312,0.32469350923170404,608.8763190112825,24.675419327972573,17.435711742008547,76,0.008806752972304821,0.00980585440993309,bundaran_hi
0.001,rmsprop,32,0.1,0.40260341455953264,183.78064219941868,13.55657191916226,10.701608962198694,0.14160785920555197,773.9517598305831,27.81998849443657,20.495338287958766,93,0.009091305546462536,0.011730659753084183,bundaran_hi
0.001,rmsprop,16,0.2,0.3518798430974295,199.38503426516877,14.120376562442262,11.521438436869959,0.05205439483824337,854.6958138032312,29.235181097493328,21.24697340102292,88,0.011633127927780151,0.012726680375635624,bundaran_hi
0.001,rmsprop,64,0.2,0.34833850886899376,200.47447584318655,14.15890094051041,11.048809290636536,0.26028078275523203,666.9527396152885,25.825428159379825,18.84873156912717,89,0.009187509305775166,0.012796218506991863,bundaran_hi
0.001,rmsprop,64,0.0,0.26181125413636486,227.09336659360906,15.069617334013795,12.24746285152821,0.3692438020045835,568.7084564996029,23.847609031087433,19.27475887317165,50,0.008832237683236599,0.014495296403765678,bundaran_hi
0.001,rmsprop,16,0.0,0.18074160266099493,252.03330259950587,15.875556765024207,12.735200263819294,0.1552229193084098,761.676018679163,27.598478557325638,22.622132939698158,53,0.009106543846428394,0.016087202355265617,bundaran_hi
0.001,rmsprop,16,0.1,0.17561761119360242,253.60962637746556,15.925125631449994,12.801781376758917,0.2815579860254641,647.768583408979,25.45129826568733,18.89905876448309,77,0.011337067000567913,0.016187820583581924,bundaran_hi
0.001,rmsprop,32,0.2,0.12013140496371255,270.67917592405354,16.45233041012894,13.291859302836569,0.06756603675763118,840.7100583532092,28.99500057515449,22.042437324820114,44,0.01134693343192339,0.017277363687753677,bundaran_hi
0.01,adam,16,0.1,0.0003106901201986867,307.54033057310176,17.536827836672792,14.158487055172674,-0.21845950477539566,1098.5991520500622,33.14512259820534,25.59965478053984,29,0.018565012142062187,0.019630197435617447,bundaran_hi
0.01,adam,16,0.2,-0.0001707324951976119,307.68843345748905,17.541049953109678,14.171695228350995,-0.2153482392291859,1095.7939429499872,33.10277847779529,25.592523302165453,34,0.018452052026987076,0.019639652222394943,bundaran_hi
0.01,adam,32,0.2,-0.00017444482964790176,307.68957550487596,17.541082506643537,14.171961134457176,-0.21526807930668657,1095.721668391382,33.10168679072687,25.592589838903997,22,0.01847134530544281,0.01963972859084606,bundaran_hi
0.01,adam,64,0.2,-0.0005304554855003474,307.79909716696267,17.544204090438605,14.162624021927222,-0.22026812560295372,1100.2298581176403,33.16971296405262,25.617726357676737,32,0.01949084922671318,0.019646715372800827,bundaran_hi
0.01,adam,64,0.1,-0.0017468415227503975,308.17330119245673,17.554865456404293,14.154042704077208,-0.23111520241329075,1110.0099036089796,33.316811126051356,25.673482541951504,22,0.018535222858190536,0.019670600071549416,bundaran_hi
0.01,adam,32,0.1,-0.002268106042908835,308.3336608774721,17.559432248152902,14.256145248328576,-0.18357108215952445,1067.1427176327152,32.667150436374385,25.45682676336096,23,0.018436186015605927,0.01968083716928959,bundaran_hi
